German,Translation,Category
musste,ich [müssen],Präteritum Modalverben
musstest,du [müssen],Präteritum Modalverben
musste,er/sie/es [müssen],Präteritum Modalverben
mussten,wir [müssen],Präteritum Modalverben
musstet,ihr [müssen],Präteritum Modalverben
mussten,sie/Sie [müssen],Präteritum Modalverben
konnte,ich [können],Präteritum Modalverben
konntest,du [können],Präteritum Modalverben
konnte,er/sie/es [können],Präteritum Modalverben
konnten,wir [können],Präteritum Modalverben
konntet,ihr [können],Präteritum Modalverben
konnten,sie/Sie [können],Präteritum Modalverben
durfte,ich [dürfen],Präteritum Modalverben
durftest,du [dürfen],Präteritum Modalverben
durfte,er/sie/es [dürfen],Präteritum Modalverben
durften,wir [dürfen],Präteritum Modalverben
durftet,ihr [dürfen],Präteritum Modalverben
durften,sie/Sie [dürfen],Präteritum Modalverben
sollte,ich [sollen],Präteritum Modalverben
solltest,du [sollen],Präteritum Modalverben
sollte,er/sie/es [sollen],Präteritum Modalverben
sollten,wir [sollen],Präteritum Modalverben
solltet,ihr [sollen],Präteritum Modalverben
sollten,sie/Sie [sollen],Präteritum Modalverben
wollte,ich [wollen],Präteritum Modalverben
wolltest,du [wollen],Präteritum Modalverben
wollte,er/sie/es [wollen],Präteritum Modalverben
wollten,wir [wollen],Präteritum Modalverben
wolltet,ihr [wollen],Präteritum Modalverben
wollten,sie/Sie [wollen],Präteritum Modalverben
mochte,ich [mögen],Präteritum Modalverben
mochtest,du [mögen],Präteritum Modalverben
mochte,er/sie/es [mögen],Präteritum Modalverben
mochten,wir [mögen],Präteritum Modalverben
mochtet,ihr [mögen],Präteritum Modalverben
mochten,sie/Sie [mögen],Präteritum Modalverben
möchte,ich [möchten],Präteritum Modalverben
möchtest,du [möchten],Präteritum Modalverben
möchte,er/sie/es [möchten],Präteritum Modalverben
möchten,wir [möchten],Präteritum Modalverben
möchtet,ihr [möchten],Präteritum Modalverben
möchten,sie/Sie [möchten],Präteritum Modalverben
muss,ich [müssen],Präsens Modalverben
musst,du [müssen],Präsens Modalverben
muss,er/sie/es [müssen],Präsens Modalverben
müssen,wir [müssen],Präsens Modalverben
müsst,ihr [müssen],Präsens Modalverben
müssen,sie/Sie [müssen],Präsens Modalverben
kann,ich [können],Präsens Modalverben
kannst,du [können],Präsens Modalverben
kann,er/sie/es [können],Präsens Modalverben
können,wir [können],Präsens Modalverben
könnt,ihr [können],Präsens Modalverben
können,sie/Sie [können],Präsens Modalverben
darf,ich [dürfen],Präsens Modalverben
darfst,du [dürfen],Präsens Modalverben
darf,er/sie/es [dürfen],Präsens Modalverben
dürfen,wir [dürfen],Präsens Modalverben
dürft,ihr [dürfen],Präsens Modalverben
dürfen,sie/Sie [dürfen],Präsens Modalverben
soll,ich [sollen],Präsens Modalverben
sollst,du [sollen],Präsens Modalverben
soll,er/sie/es [sollen],Präsens Modalverben
sollen,wir [sollen],Präsens Modalverben
sollt,ihr [sollen],Präsens Modalverben
sollen,sie/Sie [sollen],Präsens Modalverben
will,ich [wollen],Präsens Modalverben
willst,du [wollen],Präsens Modalverben
will,er/sie/es [wollen],Präsens Modalverben
wollen,wir [wollen],Präsens Modalverben
wollt,ihr [wollen],Präsens Modalverben
wollen,sie/Sie [wollen],Präsens Modalverben
mag,ich [mögen],Präsens Modalverben
magst,du [mögen],Präsens Modalverben
mag,er/sie/es [mögen],Präsens Modalverben
mögen,wir [mögen],Präsens Modalverben
mögt,ihr [mögen],Präsens Modalverben
mögen,sie/Sie [mögen],Präsens Modalverben
möchte,ich [möchten],Präsens Modalverben
möchtest,du [möchten],Präsens Modalverben
möchte,er/sie/es [möchten],Präsens Modalverben
möchten,wir [möchten],Präsens Modalverben
möchtet,ihr [möchten],Präsens Modalverben
möchten,sie/Sie [möchten],Präsens Modalverben
Computer,computadores -- computers,Arbeit
das Büro,La oficina -- the office,Arbeit
das Papier,El papel -- The paper,Arbeit
der Computer,La computadora -- The computer,Arbeit
der Stift,El lapiz -- The pencil,Arbeit
die Pause,El descanso -- the pause,Arbeit
Avocados,aguacates -- avocadoes,Essen
Biere,Cervezas -- beers,Essen
das Bier,La cerveza -- the beer,Essen
das Brot,El pan -- the bread,Essen
das Ei,El huevo -- the egg,Essen
das Fleisch,La carne -- the meat,Essen
das Gebäck,La repostería -- the backed products,Essen
das Gemüse,La verdura -- the vegetables,Essen
das Getränk,La bebida -- the drink,Essen
das Hähnchen,El pollo -- the chicken,Essen
das Müsli,el cereal musli – musli cereal,Essen
das Obst,La fruta -- the fruit,Essen
das Öl,El aceite -- the oil,Essen
das Produkt,El producto -- the product,Essen
das Salz,La sal -- the salt,Essen
das Stück,La pieza -- the piece,Essen
das Wasser,El agua -- the water,Essen
der Apfel,La manzana -- the apple,Essen
der Erdapfel,La patata -- the potato,Essen
der Joghurt,El yogur -- the yogurt,Essen
der Kaffee,El café -- the coffee,Essen
der Käse,El queso -- the cheese,Essen
der Keks,La galleta -- the cookies,Essen
der Kuchen,El pastel -- the cake,Essen
der Lachs,El salmón -- the salmon,Essen
der Paprika,La pimienta -- the bell pepper,Essen
der Paradeiser,El tomate -- the tomato,Essen
der Pfeffer,La pimienta -- the pepper,Essen
der Reis,El arroz -- the rice,Essen
der Saft,El jugo -- the juice,Essen
der Salat,La ensalada -- the salad,Essen
der Sauerrahm,la crema acida,Essen
der Schinken,El jamón -- the ham,Essen
der Tee,El té -- the tea,Essen
der Wasserkocher,La tetera -- the water boiler,Essen
der Wein,El vino -- the wine,Essen
der Zucker,El azúcar -- the sugar,Essen
die Banane,El plátano -- the banana,Essen
die Birne,La pera -- the pear,Essen
die Butter,La mantequilla -- the butter,Essen
die Marille,el melocoton,Essen
die Milch,La leche -- the milk,Essen
die Nudeln,Los fideos -- the noodles,Essen
die Schokolade,El chocolate -- the chocolate,Essen
die Schokolade,El chocolate -- the chocolate,Essen
die Semmel,el pan austriaco,Essen
die Wurst,La salchicha -- the sausage,Essen
Mangos,mangos -- mangoes,Essen
Ruculas,Rúcula -- ruculas,Essen
Säfte,jugos -- juices,Essen
Salate,ensaladas -- salads,Essen
das Sonderangebot,"la oferta, the offer",Geld
die Karte,El mapa -- the map,Geld
Karten,tarjetas -- cards,Geld
Zahlen,Pagar -- numbers (Zahl),Geld
die Stadt,La ciudad – the city,Geographie/Kultur
das Land,El país -- the country,Geographie/Kultur
der Ort,"El lugar -- the town, the city",Geographie/Kultur
die Sprache,El idioma -- the language,Geographie/Kultur
Länder,Países -- countries,Geographie/Kultur
Orte,lugares -- towns,Geographie/Kultur
Sprachen,Idiomas -- languages,Geographie/Kultur
Städte,ciudades -- cities,Geographie/Kultur
das Vitamin,La vitamina -- the vitamin,Gesunheit
der Stress,El estrés -- the stress,Gesunheit
die Vakzine,La vacuna -- the vaccine,Gesunheit
Bilder,Fotos -- images,Haus
das Bett,La cama -- The bed,Haus
das Bild,La imagen -- The image,Haus
das Fenster,La ventana -- The window,Haus
das Foto,La foto -- The photo,Haus
das Geschirr,Los platos -- the dishes,Haus
Computer,computadores -- computers,Arbeit
das Büro,La oficina -- the office,Arbeit
das Papier,El papel -- The paper,Arbeit
der Computer,La computadora -- The computer,Arbeit
der Stift,El lapiz -- The pencil,Arbeit
die Pause,El descanso -- the pause,Arbeit
Avocados,aguacates -- avocadoes,Essen
Biere,Cervezas -- beers,Essen
das Bier,La cerveza -- the beer,Essen
das Brot,El pan -- the bread,Essen
das Ei,El huevo -- the egg,Essen
das Fleisch,La carne -- the meat,Essen
das Gebäck,La repostería -- the backed products,Essen
das Gemüse,La verdura -- the vegetables,Essen
das Getränk,La bebida -- the drink,Essen
das Hähnchen,El pollo -- the chicken,Essen
das Müsli,el cereal musli – musli cereal,Essen
das Obst,La fruta -- the fruit,Essen
das Öl,El aceite -- the oil,Essen
das Produkt,El producto -- the product,Essen
das Salz,La sal -- the salt,Essen
das Stück,La pieza -- the piece,Essen
das Wasser,El agua -- the water,Essen
der Apfel,La manzana -- the apple,Essen
der Erdapfel,La patata -- the potato,Essen
der Joghurt,El yogur -- the yogurt,Essen
der Kaffee,El café -- the coffee,Essen
der Käse,El queso -- the cheese,Essen
der Keks,La galleta -- the cookies,Essen
der Kuchen,El pastel -- the cake,Essen
der Lachs,El salmón -- the salmon,Essen
der Paprika,La pimienta -- the bell pepper,Essen
der Paradeiser,El tomate -- the tomato,Essen
der Pfeffer,La pimienta -- the pepper,Essen
der Reis,El arroz -- the rice,Essen
der Saft,El jugo -- the juice,Essen
der Salat,La ensalada -- the salad,Essen
der Sauerrahm,la crema acida,Essen
der Schinken,El jamón -- the ham,Essen
der Tee,El té -- the tea,Essen
der Wasserkocher,La tetera -- the water boiler,Essen
der Wein,El vino -- the wine,Essen
der Zucker,El azúcar -- the sugar,Essen
die Banane,El plátano -- the banana,Essen
die Birne,La pera -- the pear,Essen
die Butter,La mantequilla -- the butter,Essen
die Marille,el melocoton,Essen
die Milch,La leche -- the milk,Essen
die Nudeln,Los fideos -- the noodles,Essen
die Schokolade,El chocolate -- the chocolate,Essen
die Schokolade,El chocolate -- the chocolate,Essen
die Semmel,el pan austriaco,Essen
die Wurst,La salchicha -- the sausage,Essen
Mangos,mangos -- mangoes,Essen
Ruculas,Rúcula -- ruculas,Essen
Säfte,jugos -- juices,Essen
Salate,ensaladas -- salads,Essen
das Sonderangebot,"la oferta, the offer",Geld
die Karte,El mapa -- the map,Geld
Karten,tarjetas -- cards,Geld
Zahlen,Pagar -- numbers (Zahl),Geld
die Stadt,La ciudad – the city,Geographie/Kultur
das Land,El país -- the country,Geographie/Kultur
der Ort,"El lugar -- the town, the city",Geographie/Kultur
die Sprache,El idioma -- the language,Geographie/Kultur
Länder,Países -- countries,Geographie/Kultur
Orte,lugares -- towns,Geographie/Kultur
Sprachen,Idiomas -- languages,Geographie/Kultur
Städte,ciudades -- cities,Geographie/Kultur
das Vitamin,La vitamina -- the vitamin,Gesunheit
der Stress,El estrés -- the stress,Gesunheit
die Vakzine,La vacuna -- the vaccine,Gesunheit
Bilder,Fotos -- images,Haus
das Bett,La cama -- The bed,Haus
das Bild,La imagen -- The image,Haus
das Fenster,La ventana -- The window,Haus
das Foto,La foto -- The photo,Haus
das Geschirr,Los platos -- the dishes,Haus
das Glas,El vaso -- the glass,Haus
das Messer, el cuchillo -- the knife,Haus
das Notizbuch,El cuaderno -- The notebook,Haus
das Regal,El estante -- The shelf,Haus
das Sofa,El sofá -- The sofa,Haus
das Zimmer,La habitación -- the room,Haus
der Fernseher,La televisión -- the TV,Haus
der Geschirrspüler,El lavavajillas -- The dishwasher,Haus
der Kasten,La caja -- The wardrobe,Haus
der Kühlschrank,El refrigerador -- The fridge,Haus
der Löffel,La cuchara -- the spoon,Haus
der Nachbar,El vecino -- the neighbor,Haus
der Reiskocher,La olla arrocera -- the rice cooker,Haus
der Schlüssel,La clave -- The key,Haus
der Sessel,El sillón -- the sofa chair,Haus
der Stuhl,La silla -- The chair,Haus
der Tisch,La mesa -- The table,Haus
der Wecker,El despertador -- the alarm clock,Haus
die Gabel, el tenedor -- the fork,Haus
die Kaffeemaschine,La máquina de café -- The coffee machine,Haus
die Küche,La cocina -- the kitchen,Haus
die Matratze,El colchón -- the mattress,Haus
die Planze, la planta -- the plant,Haus
die Stiege,Las escaleras -- the staircase,Haus
die Tasse,la copa -- the cup,Haus
die Toilette,El baño -- the toilet,Haus
die Tür,La puerta -- The door,Haus
die Waschmaschine,La lavadora -- The washing machine,Haus
die Wohnung,El apartamento -- the apartment,Haus
Fernseher,TELEVISOR -- TV’s,Haus
Flaschen,botellas -- bottles,Haus
Küchen,cocinas -- cakes,Haus
Löffel,Cuchara -- spoons,Haus
Regale,estantes -- shelves,Haus
Schlüssel,Llaves -- keys,Haus
Sofas,sofás -- couches,Haus
Stiegen,escaleras -- staircases,Haus
Stühle,sillas -- chairs,Haus
Tassen,tazas -- cups,Haus
Tische,mesas -- tables,Haus
Toiletten,baños -- toilets,Haus
das Handtuch,La toalla -- the towel,Kleidung
der Rucksack,La mochila -- the backpack,Kleidung
die Handtasche,El bolso -- The purse,Kleidung
Rucksäcke,Mochilas -- backpacks,Kleidung
Taschen,bolsas -- purses,Kleidung
Adressen,direcciones -- addresses,Kontaktdaten
der Name,El nombre -- the name,Kontaktdaten
die Adresse,La dirección -- the address,Kontaktdaten
die Postleitzahl,El código postal -- the postcode,Kontaktdaten
die Telefonnummer,El número de teléfono -- the phone number,Kontaktdaten
Namen,nombres -- names,Kontaktdaten
Nummern,números -- numbers (Nummer),Kontaktdaten
das Haar,El cabello -- the hair,der Körper
die Haare,Los cabellos – the hairs,der Körper
der Baum,El arbol -- the tree,Natur
das Kind,El niño -- the child,Personen
der Freund,El amigo -- the friend,Personen
der Name,El nombre -- the name,Personen
die Gruppe,El grupo -- the group,Personen
die Person,La persona -- the person,Personen
Kinder,Niños -- children,Personen
Mamas,mamás -- moms,Personen
Omas,abuelas -- grandmas,Personen
Opas,abuelos -- grandpas,Personen
Papas,Papás -- dads,Personen
das Buch,Biblia -- the book,Schule
das Video,El vídeo -- the video,Schule
der Kugelschreiber,El bolígrafo -- the pen,Schule
der Kurs,el curso -- the course,Schule
der Punkt,"el punto -- the dot, period",Schule
der Radiergummi,El borrador -- the eraser,Schule
der Spitzer,El sacapuntas -- the sharpener,Schule
die Hauseaufgaben,La tarea -- the homework,Schule
die List,La lista -- the list,Schule
die Schere,Las tijeras -- the scissors,Schule
die Tafel,La pizarra -- The board,Schule
Kugelschreiber,Bolígrafos -- pens,Schule
Scheren,tijeras -- scissors (plural),Schule
Spitzer,Spitzer -- sharpeners,Schule
Stifte,bolígrafos -- pencils,Schule
der Hunger,hambre -- the hunger,Sensation
der Ball,La pelota -- the ball,Sport
Bahnhöfe,estaciones de tren -- train stations,Stadt
Bänke,bancos -- banks,Stadt
der Markt,el mercado – the mark,Stadt
die Bank,El banco -- The bank,Stadt
500 Gramm,500 gramos -- 500 grams,Supermarkt
das Bier,La cerveza -- the beer,Supermarkt
das Glas,El vaso -- the glass (e.g. mermelade),Supermarkt
das Kilo,El kilo – the kilo,Supermarkt
das Packerl,El paquete -- the packet (small),Supermarkt
das Sackerl,La bolsa -- the bag (of chips),Supermarkt
der Becher,La taza -- the cup (e.g. yogurt),Supermarkt
der Kunde,El cliente,Supermarkt
der Liter,un litro -- one liter,Supermarkt
der Verkäufer,el vendedor – the male seller,Supermarkt
die Dose,La lata -- the can,Supermarkt
die Flasche,La botella -- The bottle,Supermarkt
die Flasche,La botella -- the bottle,Supermarkt
die Kassa,La caja registradora -- The cash register,Supermarkt
die Kiste,la caja -- the crate,Supermarkt
die Kundin,La cliente,Supermarkt
die Packung,El paquete -- the packet (big),Supermarkt
die Scheiben,Las tajadas -- the slices,Supermarkt
die Verkäuferin,la vendedora – the female seller,Supermarkt
am Abend,por la tarde -- in the evening,Tag und Zeit
am Mittag,Al mediodía -- At noon,Tag und Zeit
am Morgen,por la mañana -- in the morning,Tag und Zeit
am Nachmittag,por la tarde -- in the afternoon,Tag und Zeit
am Vormittag,por la mañana -- in the morning (before noon),Tag und Zeit
April,Abril -- April,Tag und Zeit
August,Agosto -- August,Tag und Zeit
das Jahr,El año -- the year,Tag und Zeit
der Frühling ,La primavera -- The spring,Tag und Zeit
der Herbst,El otoño -- The autum,Tag und Zeit
der Monat,El mes -- the month,Tag und Zeit
der Sommer,el verano -- The summer,Tag und Zeit
der Tag,El día -- The day,Tag und Zeit
der Winter,El invierno -- The winter,Tag und Zeit
Dezember,Diciembre -- December,Tag und Zeit
die Minute,El minuto -- The minute,Tag und Zeit
die Nacht,La noche -- The night,Tag und Zeit
die Sekunde,El segundo -- The second,Tag und Zeit
die Stunde,La hora -- The hour,Tag und Zeit
die Uhr,El reloj -- The clock,Tag und Zeit
die Woche,la semana -- the week,Tag und Zeit
die Zeit,el tiempo -- The time,Tag und Zeit
Dienstag,Martes -- Tuesday,Tag und Zeit
Donnerstag,Jueves -- Thursday,Tag und Zeit
Februar,Febrero -- February,Tag und Zeit
Freitag,Viernes -- Friday,Tag und Zeit
in der Früh,temprano por la mañana -- in the early morning,Tag und Zeit
in der Nacht,por la noche -- At night,Tag und Zeit
Jänner,Enero -- January,Tag und Zeit
Juli,Julio -- July,Tag und Zeit
Juni,Junio -- June,Tag und Zeit
Mai,Puede -- May,Tag und Zeit
März,Marzo -- March,Tag und Zeit
Minuten,minutos -- minutes,Tag und Zeit
Mittwoch,Miércoles -- Wednesday,Tag und Zeit
Monate,Meses -- months,Tag und Zeit
Montag,Lunes -- Monday,Tag und Zeit
Nächte,noches -- nights,Tag und Zeit
November,Noviembre -- November,Tag und Zeit
Oktober,Octubre -- October,Tag und Zeit
Samstag,Sábado -- Saturday,Tag und Zeit
Sekunden,artículos de segunda clase -- seconds,Tag und Zeit
September ,Septiembre -- September,Tag und Zeit
Sonntag,Domingo -- Sunday,Tag und Zeit
Stunden,Horas -- hours,Tag und Zeit
Tage,días -- days,Tag und Zeit
Uhren,relojes -- clocks,Tag und Zeit
das Handy,El teléfono -- The phone,Tech
der Laptop,La computadora portátil -- The laptop,Tech
der Projektor,el proyector,Tech
Maschinen,máquinas -- machines,Tech
der Elefant,El elefante -- the elephant,Tiere
Autos,carros -- cars,Verkehrsmittel
Bahnen,Ferrocarriles -- railways,Verkehrsmittel
das Auto,El coche -- the car,Verkehrsmittel
das Fahrrad,La bicicleta -- the bike,Verkehrsmittel
das Taxi,El taxi -- the taxi,Verkehrsmittel
der Bus,El autobús -- the bus,Verkehrsmittel
der Zug,El tren -- the train,Verkehrsmittel
die Bahn,El tren -- the railway,Verkehrsmittel
Taxis,Taxis -- taxis,Verkehrsmittel
das Ding,"la cosa, the thing (Ding)",Wissen
das Ende,el fin -- the end,Wissen
das Gegenteil,lo contrario -- the opposite word,Wissen
das Wort,La palabra -- the word,Wissen
die Bedeutung,El significado -- the meaning,Wissen
die Frage,La pregunta -- the question,Wissen
die Regel,La regla -- the rule,Wissen
die Sache,"la cosa, the thing",Wissen
Enden,finales -- finales,Wissen
Fragen,Preguntas -- questions,Wissen
Gegenteile,opuestos -- the opposite nouns,Wissen
Projekte,Proyectos -- projects,Wissen
Wörter,Palabras -- words,Wissen
das Schiff,El barco - - the ship,Verkehrsmittel
das Motorrad,La moto – the motorbike,Verkehrsmittel
das Boot,El bote – the boat,Verkehrsmittel
das Flugzeug,El avion – the airplane,Verkehrsmittel
das Wohnmobil,La casa rodante – the RV,Verkehrsmittel
die Haltestelle,La parada – the stop,Stadt
der Flughafen,El aeropuerto – the airport,Stadt
das Amt,La oficina de gobierno – the government office,Stadt
der Bahnhof,La estacion de tren – the train station,Stadt
der Platz,La plazoleta – the square,Stadt
die Apotheke,La farmacia – the pharmacy,Stadt
das Kino,El cine – the cinema,Stadt
der Supermarkt,El supermercado – the supermarket,Stadt
die Leute,La gente – the people,Personen
das Schwimmbad,La piscina – the swimming pool,Stadt
die Schule,La escuela – the school,Stadt
das Restaurant,El restaurante – the restaurant,Stadt
das Hotel,El hotel – the hotel,Stadt
das Rathaus,El ayuntamiento  - the city hall,Stadt
die Polizeistation,La estación de policia – the police station,Stadt
die Bücherei,La biblioteca – the library,Stadt
die Ampel,El semáforo – the traffic lights,Stadt
die Post,El correo – the post,Stadt
das Postamt,La officina de correos – the post office,Stadt
das Krankenhaus,El hospital – the hospital (Germany),Stadt
das Spital,El hospital – the hospital (Austria),Stadt
der Zoo,El zoológico – The zoo,Stadt
der Kindergarten,El Kindergarten – the Kindergarten,Stadt
der Park,El parque – the park,Stadt
der Spielplatz,El parque de juegos – the playground,Stadt
die Bar,El bar  - the bar,Stadt
der Ring,el anillo -- the ring,Kleidung
die Ohrringe,los pendientes / los aretes -- the earrings,Kleidung
das Armband,la pulsera / el brazalete -- the bracelet,Kleidung
die Armbanduhr,el reloj de pulsera -- the wristwatch,Kleidung
die Kappe,la gorra -- the cap,Kleidung
die Brille,las gafas / los anteojos / los lentes -- the glasses,Kleidung
der Regenschirm,el paraguas -- the umbrella,Kleidung
die Sandalen,las sandalias -- the sandals,Kleidung
der Hut,el sombrero -- the hat,Kleidung
die Handschuhe,los guantes -- the gloves,Kleidung
der Schal,la bufanda -- the scarf,Kleidung
die Krawatte,la corbata -- the tie,Kleidung
der Gürtel,el cinturón -- the belt,Kleidung
die Schuhe,los zapatos -- the shoes,Kleidung
die Stiefel,las botas -- the boots,Kleidung
die Socken,los calcetines -- the socks,Kleidung
der Badeanzug,el traje de baño (entero) -- the swimsuit,Kleidung
die Badehose,el bañador / el traje de baño (para hombres) -- the swim trunks,Kleidung
das Kleid,el vestido -- the dress,Kleidung
der Rock,la falda -- the skirt,Kleidung
die Jeans,los jeans / los vaqueros -- the jeans,Kleidung
die Hose,los pantalones -- the pants/trousers,Kleidung
das Hemd,la camisa -- the shirt (button-up),Kleidung
der Anzug,el traje -- the suit,Kleidung
der Pullover,el suéter – the sweater,Kleidung
der Mantel,el abrigo -- the coat,Kleidung
die Jacke,la chaqueta -- the jacket,Kleidung
die Bluse,la blusa -- the blouse,Kleidung
die Unterwäsche,la ropa interior -- the underwear,Kleidung
die Mütze,el gorro -- the beanie/cap,Kleidung
das Erdgeschoss,la planta baja -- the ground floor,Stadt
der Stock,el piso / la planta -- the floor (of a building),Stadt
der Kopf,la cabeza -- the head,der Körper
das Gesicht,la cara / el rostro -- the face,der Körper
das Auge,el ojo -- the eye,der Körper
die Augen,los ojos -- the eyes,der Körper
das Ohr,la oreja -- the ear,der Körper
die Ohren,las orejas -- the ears,der Körper
die Nase,la nariz -- the nose,der Körper
der Mund,la boca -- the mouth,der Körper
die Zunge,la lengua -- the tongue,der Körper
die Zähne,los dientes -- the teeth,der Körper
der Zahn,el diente -- the tooth,der Körper
die Lippe,el labio -- the lip,der Körper
das Kinn,la barbilla -- the chin,der Körper
die Wange,la mejilla -- the cheek,der Körper
der Hals,el cuello / la garganta -- the neck / throat,der Körper
die Schulter,el hombro -- the shoulder,der Körper
der Ellenbogen,el codo -- the elbow,der Körper
die Hand,la mano -- the hand,der Körper
die Hände,las manos -- the hands,der Körper
der Finger,el dedo -- the finger,der Körper
die Finger,los dedos -- the fingers,der Körper
der Daumen,el pulgar -- the thumb,der Körper
der Nagel,la uña -- the nail,der Körper
das Bein,la pierna -- the leg,der Körper
das Knie,la rodilla -- the knee,der Körper
der Fuß,el pie -- the foot,der Körper
die Füße,los pies -- the feet,der Körper
die Zehe,el dedo del pie -- the toe,der Körper
die Zehen,los dedos del pie -- the toes,der Körper
die Brust,el pecho / el busto -- the chest / breast,der Körper
das Herz,el corazón -- the heart,der Körper
der Bauch,la barriga / el vientre -- the belly / stomach,der Körper
der Nacken,la nuca -- the nape,der Körper
der Rücken,la espalda -- the back,der Körper
die Schulter,el hombro -- the shoulder,der Körper
der Arm,el brazo -- the arm,der Körper
die Arme,los brazos -- the arms,der Körper
das Bein,la pierna -- the leg,der Körper
die Beine,las piernas -- the legs,der Körper
das Knie,la rodilla -- the knee,der Körper
der Knöchel,el tobillo -- the ankle,der Körper
der Rücken,la espalda -- the back,der Körper
die Lunge,el pulmón -- the lung,der Körper
die Haut,la piel -- the skin,der Körper
das Gehirn,el cerebro -- the brain,der Körper
die Knochen,los huesos -- the bones,der Körper
die Muskeln,los músculos -- the muscles,der Körper
das Blut,la sangre -- the blood,der Körper
die Familie,la familia -- the family,die Familie
die Eltern,los padres -- the parents,die Familie
die Mutter,la madre -- the mother,die Familie
der Vater,el padre -- the father,die Familie
die Geschwister,los hermanos -- the siblings,die Familie
die Schwester,la hermana -- the sister,die Familie
der Bruder,el hermano -- the brother,die Familie
die Großeltern,los abuelos -- the grandparents,die Familie
die Großmutter / die Oma,la abuela -- the grandmother,die Familie
der Großvater,el abuelo -- the grandfather,die Familie
die Enkelin,la nieta -- the granddaughter,die Familie
der Enkel,el nieto -- the grandson,die Familie
die Enkelkinder,los nietos -- the grandchildren,die Familie
die Tante,la tía -- the aunt,die Familie
der Onkel,el tío -- the uncle,die Familie
die Cousine,la prima -- the (female) cousin,die Familie
der Cousin,el primo -- the (male) cousin,die Familie
die Nichte,la sobrina -- the niece,die Familie
der Neffe,el sobrino -- the nephew,die Familie
die Ehefrau,la esposa / la mujer -- the wife,die Familie
der Ehemann,el esposo / el marido -- the husband,die Familie
die Tochter,la hija -- the daughter,die Familie
der Sohn,el hijo -- the son,die Familie
die Nichte,la sobrina -- the niece,die Familie
der Neffe,el sobrino -- the nephew,die Familie
die Großmutter (Oma),la abuela -- the grandmother,die Familie
der Großvater (Opa),el abuelo -- the grandfather,die Familie
die Tante,la tía -- the aunt,die Familie
der Onkel,el tío -- the uncle,die Familie
das Unternehmen,la empresa - the company,Arbeit
die Verwandte,el/la pariente - the relative,die Familie
die Angestellten,los empleados - the employees,Arbeit
der Dienstgeber,el empleador - the employer,Arbeit
die Sprache,el idioma - the language,Geographie/Kultur
die Muttersprache,la lengua materna - the mother tongue,Geographie/Kultur
die Fremdsprache,el idioma extranjero - the foreign language,Geographie/Kultur
die Amtssprache,el idioma oficial - the official language,Geographie/Kultur
das Kürbiskernöl,el aceite de semilla de calabaza - the pumpkin seed oil,Essen
das Reich,el imperio / el reino - the empire / the realm,Geographie/Kultur
der Frieden,la paz - the peace,Geographie/Kultur
der Schüler,el estudiante (masculino) - the (male) student,Schule
die Schülerin,la estudiante - the (female) student,Schule
Deutschland,Alemania - Germany,Geographie/Kultur
Frankreich,Francia - France,Geographie/Kultur
Spanien,España - Spain,Geographie/Kultur
Italien,Italia - Italy,Geographie/Kultur
Vereinigtes Königreich,Reino Unido - United Kingdom,Geographie/Kultur
die Niederlande,Países Bajos - Netherlands,Geographie/Kultur
Belgien,Bélgica - Belgium,Geographie/Kultur
Österreich,Austria - Austria,Geographie/Kultur
die Schweiz,Suiza - Switzerland,Geographie/Kultur
Portugal,Portugal - Portugal,Geographie/Kultur
Schweden,Suecia - Sweden,Geographie/Kultur
Finnland,Finlandia - Finland,Geographie/Kultur
Polen,Polonia - Poland,Geographie/Kultur
Russland,Rusia - Russia,Geographie/Kultur
China,China - China,Geographie/Kultur
Japan,Japón - Japan,Geographie/Kultur
Vereinigte Staaten,Estados Unidos - United States,Geographie/Kultur
Kanada,Canadá - Canada,Geographie/Kultur
Australien,Australia - Australia,Geographie/Kultur
Kolumbien,Colombia - Colombia,Geographie/Kultur
Mexiko,México - Mexico,Geographie/Kultur
Südafrika,Sudáfrica - South Africa,Geographie/Kultur
Ungarn,Hungría - Hungary,Geographie/Kultur
die Schweiz,Suiza - Switzerland,Geographie/Kultur
die Türkei,Turquía - Turkey,Geographie/Kultur
die Ukraine,Ucrania - Ukraine,Geographie/Kultur
der Kosovo,Kosovo - Kosovo,Geographie/Kultur
Island,Islandia - Iceland,Geographie/Kultur
Ägypten,Egipto - Egypt,Geographie/Kultur
der Saudi-Arabien,Arabia Saudita - Saudi Arabia,Geographie/Kultur
der Iran,Irán - Iran,Geographie/Kultur
Serbien,Serbia - Serbia,Geographie/Kultur
Griechenland,Grecia - Greece,Geographie/Kultur
der Termin,La cita – the appointment,Arbeit
die Wahl,la elección - choice,Wissen
die Notbremsung,la frenada de emergencia - emergency brake,Verkehrsmittel
die Haltegriffe,los asideros - handrails,Verkehrsmittel
der Schnitzel,el schnitzel - schnitzel,Essen
die Blume,la flor - flower,Natur
die Blumen,las flores - flowers,Natur
der See,el lago - lake,Natur
das Meer,el mar - sea,Natur
die Station,la estación - station,Stadt
die Erde,la tierra - earth,Geographie/Kultur
die Welt,el mundo - world,Geographie/Kultur
die Straße,la calle - street,Stadt
der Berzik,el Berzik - Berzik,Stadt
das Rotes Kreuze,la Cruz Roja - Red Cross,Stadt
der Wecker,el despertador - alarm clock,Haus
die Hauptstadt,la capital - capital,Geographie/Kultur
das Bundesland,el estado - federal state,Geographie/Kultur
